"","PARK","BOROUGH","SIZE.(ACRES)","CATEGORY","MURDER","RAPE","ROBBERY","FELONY.ASSAULT","BURGLARY","GRAND.LARCENY","GRAND.LARCENY.OF.MOTOR.VEHICLE","TOTAL","Quarter","Year"
"10859","FREDERICK B. JUDGE PLAYGROUND","QUEENS       ",2.217,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10860","BELMONT PLAYGROUND BRONX","BRONX        ",2.213,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10861","MAHONEY PLAYGROUND","STATEN ISLAND",2.21,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10862","ASTORIA HEIGHTS PLAYGROUND","QUEENS       ",2.2,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10863","HOYT PLAYGROUND","QUEENS       ",2.2,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10864","ANCHORAGE PLAZA","BROOKLYN     ",2.2,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10865","LORETO PLAYGROUND","BRONX        ",2.181,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10866","HARDING PARK","BRONX        ",2.16,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10867","WASHINGTON MARKET PARK","MANHATTAN    ",2.15,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10868","VIDALIA PARK","BRONX        ",2.136,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10869","UNNAMED PARK ON E 122ND STREET","MANHATTAN    ",2.13,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10870","BRIDGE PARK BROOKLYN","BROOKLYN     ",2.117,"ONE ACRE OR LARGER",0,0,0,0,0,2,0,2,"Q2",2017
"10871","HAMILTON METZ FIELD","BROOKLYN     ",2.112,"ONE ACRE OR LARGER",0,0,0,0,0,1,0,1,"Q2",2017
"10872","CARDOZO PLAYGROUND","QUEENS       ",2.096,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10873","CENTREVILLE PLAYGROUND","QUEENS       ",2.095,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10874","REDFERN PLAYGROUND","QUEENS       ",2.093,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10875","SHEEPSHEAD PLAYGROUND","BROOKLYN     ",2.087,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10876","STORY PLAYGROUND","BRONX        ",2.075,"ONE ACRE OR LARGER",0,0,0,1,0,0,0,1,"Q2",2017
"10877","SAKURA PARK","MANHATTAN    ",2.067,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10878","LINNAEUS PARK","QUEENS       ",2.066,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10879","CASTLEWOOD PLAYGROUND","QUEENS       ",2.059,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10880","SKYLINE PLAYGROUND","STATEN ISLAND",2.057,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10881","CLOVE'S TAIL","STATEN ISLAND",2.056,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10882","DANIEL M. O'CONNELL PLAYGROUND","QUEENS       ",2.043,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10883","CHALLENGE PLAYGROUND","QUEENS       ",2.035,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10884","TORSNEY PLAYGROUND","QUEENS       ",2.027,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10885","LOCUST MANOR PLAYGROUND","QUEENS       ",2.003,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10886","PLAYGROUND ONE THIRTY FOUR CXXXIV","BRONX        ",2,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10887","FULTON PARK","BROOKLYN     ",1.987,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10888","ANDREW HASWELL GREEN PARK","MANHATTAN    ",1.984,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10889","MOORE HOMESTEAD PLAYGROUND","QUEENS       ",1.978,"ONE ACRE OR LARGER",0,0,2,1,0,0,0,3,"Q2",2017
"10890","MCLAUGHLIN PARK","BROOKLYN     ",1.976,"ONE ACRE OR LARGER",0,0,0,0,0,1,0,1,"Q2",2017
"10891","COLONEL DAVID MARCUS PLAYGROUND","BROOKLYN     ",1.974,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10892","SUMNER PLAYGROUND","BROOKLYN     ",1.97,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10893","ROSEMARY'S PLAYGROUND","QUEENS       ",1.967,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q2",2017
"10894","SAUL WEPRIN PLAYGROUND","QUEENS       ",1.964,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10895","FREDERICK DOUGLASS PLAYGROUND","MANHATTAN    ",1.945,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q2",2017
"10896","UNNAMED PARK ON HEMPSTEAD AVENUE","QUEENS       ",1.94,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10897","BRIDGE PARK 3","BROOKLYN     ",1.934,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10898","THE PAINTER'S PLAYGROUND","QUEENS       ",1.932,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10899","ROBERTO CLEMENTE BALLFIELD","BROOKLYN     ",1.93,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10900","TERRACE PLAYGROUND","STATEN ISLAND",1.922,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10901","TRAVERS PARK","QUEENS       ",1.919,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10902","BUFANO PARK","BRONX        ",1.904,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10903","DIMATTINA PLAYGROUND","BROOKLYN     ",1.9,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10904","HERMAN DOLGON PLAYGROUND","BROOKLYN     ",1.894,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10905","GORMAN PARK","MANHATTAN    ",1.89,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10906","WILLIS PLAYGROUND","BRONX        ",1.882,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10907","WEST BRONX RECREATION CENTER","BRONX        ",1.88,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10908","THOMAS PAINE PARK","MANHATTAN    ",1.875,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10909","CARROLL PARK","BROOKLYN     ",1.874,"ONE ACRE OR LARGER",0,0,0,0,0,1,0,1,"Q2",2017
"10910","COLGATE CLOSE","BRONX        ",1.871,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10911","LONDON PLANETREE PLAYGROUND","QUEENS       ",1.837,"ONE ACRE OR LARGER",0,0,0,0,1,0,0,1,"Q2",2017
"10912","SUTTER BALLFIELDS","BROOKLYN     ",1.836,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10913","TAAFFE PLAYGROUND","BROOKLYN     ",1.821,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10914","THOMAS BOYLAND PARK","BROOKLYN     ",1.82,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10915","GIVAN SQUARE","BRONX        ",1.82,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10916","HAROLD ICKES PLAYGROUND","BROOKLYN     ",1.816,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10917","REV J POLITE PLAYGROUND","BRONX        ",1.815,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10918","MAPES BALLFIELD","BRONX        ",1.806,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10919","MIDLAND MALLS","QUEENS       ",1.803,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10920","CEDAR PLAYGROUND","BRONX        ",1.8,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10921","BENNETT PARK","MANHATTAN    ",1.8,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10922","CONCH PLAYGROUND","QUEENS       ",1.8,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10923","RAYMOND BUSH PLAYGROUND","BROOKLYN     ",1.795,"ONE ACRE OR LARGER",0,0,0,3,0,0,0,3,"Q2",2017
"10924","PLAYGROUND 52 LII","BRONX        ",1.793,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10925","DR. GREEN PLAYGROUND","BROOKLYN     ",1.791,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10926","BRUST PARK","BRONX        ",1.79,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10927","LAURELTON PLAYGROUND","QUEENS       ",1.785,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10928","SIMEONE PARK","QUEENS       ",1.78,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10929","MANOR PARK","STATEN ISLAND",1.78,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10930","TAPPEN PARK","STATEN ISLAND",1.777,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10931","LUNA PARK","BROOKLYN     ",1.76,"ONE ACRE OR LARGER",0,0,0,2,0,1,0,3,"Q2",2017
"10932","ALFRED E. SMITH PLAYGROUND","MANHATTAN    ",1.75,"ONE ACRE OR LARGER",0,0,0,2,0,0,0,2,"Q2",2017
"10933","ELECTRIC PLAYGROUND","QUEENS       ",1.749,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10934","YELLOWSTONE PARK","QUEENS       ",1.745,"ONE ACRE OR LARGER",0,0,0,0,0,1,0,1,"Q2",2017
"10935","CORONA GOLF PLAYGROUND","QUEENS       ",1.722,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10936","WILSON PLAYGROUND","BROOKLYN     ",1.721,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q2",2017
"10937","NORTHERN PLAYGROUND","QUEENS       ",1.719,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10938","BARTEL-PRITCHARD SQUARE","BROOKLYN     ",1.711,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10939","DOUGHBOY PLAZA","QUEENS       ",1.71,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10940","CASTLE HILL LITTLE LEAGUE FIELD","BRONX        ",1.707,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10941","GRAND FERRY PARK","BROOKLYN     ",1.7,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10942","HAPPY WARRIOR PLAYGROUND","MANHATTAN    ",1.7,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10943","ALLEN MALL ONE","MANHATTAN    ",1.698,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10944","PLAYGROUND ONE TWENTY FIVE CXXV","MANHATTAN    ",1.691,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10945","STAR SPANGLED PLAYGROUND","BROOKLYN     ",1.687,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10946","PATTERSON PLAYGROUND","BRONX        ",1.683,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10947","MOUNT EDEN MALLS","BRONX        ",1.682,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10948","MIDLAND PLAYGROUND","STATEN ISLAND",1.681,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10949","ADAM CLAYTON POWELL JR. MALLS","MANHATTAN    ",1.679,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10950","JAMES J WALKER PARK","MANHATTAN    ",1.67,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10951","BANNEKER PLAYGROUND","BROOKLYN     ",1.67,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10952","WHITESTONE PLAYGROUND","QUEENS       ",1.662,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10953","THURSBY BASIN PARK","QUEENS       ",1.657,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10954","EQUITY PARK","QUEENS       ",1.657,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10955","BELL MALLS","QUEENS       ",1.652,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10956","LEIF ERICSON FIELDS","BROOKLYN     ",1.65,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10957","NEHEMIAH PARK","BROOKLYN     ",1.648,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10958","MARBLE HILL PLAYGROUND","BRONX        ",1.646,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10959","WAGNER HOUSES POOL","MANHATTAN    ",1.64,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10960","HARLEM LANE PLAYGROUND","MANHATTAN    ",1.635,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10961","CROWLEY PLAYGROUND","QUEENS       ",1.633,"ONE ACRE OR LARGER",0,0,0,0,0,1,0,1,"Q2",2017
"10962","BURNS PLAYGROUND","BRONX        ",1.623,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10963","100% PLAYGROUND","BROOKLYN     ",1.616,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10964","JACKIE ROBINSON PARK BROOKLYN","BROOKLYN     ",1.607,"ONE ACRE OR LARGER",0,0,0,0,0,1,0,1,"Q2",2017
"10965","IDA COURT","STATEN ISLAND",1.6,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10966","JENNIFER'S PLAYGROUND","STATEN ISLAND",1.6,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10967","REAL GOOD PARK","QUEENS       ",1.598,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10968","ALLERTON PLAYGROUND","BRONX        ",1.597,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10969","OCEAN HILL PLAYGROUND","BROOKLYN     ",1.595,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10970","BELLEVUE SOUTH PARK","MANHATTAN    ",1.593,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10971","DAG HAMMARSKJOLD PLAZA","MANHATTAN    ",1.59,"ONE ACRE OR LARGER",0,0,0,0,0,1,0,1,"Q2",2017
"10972","MAZZEI PLAYGROUND","BRONX        ",1.59,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10973","KOLBERT PLAYGROUND","BROOKLYN     ",1.581,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10974","POOR RICHARD'S PLAYGROUND","MANHATTAN    ",1.58,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10975","OLMSTED-BEIL HOUSE PARK","STATEN ISLAND",1.58,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10976","JOAN OF ARC PARK","MANHATTAN    ",1.578,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10977","TAYLOR PLAYGROUND","BRONX        ",1.578,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10978","HARMONY PARK","BROOKLYN     ",1.56,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10979","BRIARWOOD PLAYGROUND","QUEENS       ",1.558,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10980","CLINTONVILLE PLAYGROUND","QUEENS       ",1.553,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10981","FLATBUSH MALLS","BROOKLYN     ",1.55,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10982","WASHINGTON PARK BROOKLYN","BROOKLYN     ",1.549,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10983","JOHN HANCOCK PLAYGROUND","BROOKLYN     ",1.547,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10984","FRANK D. O'CONNOR PLAYGROUND","QUEENS       ",1.537,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q2",2017
"10985","OLD TOWN PLAYGROUND","STATEN ISLAND",1.534,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10986","HUGUENOT PONDS PARK","STATEN ISLAND",1.53,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10987","REIFF PLAYGROUND","QUEENS       ",1.529,"ONE ACRE OR LARGER",0,0,0,0,0,1,0,1,"Q2",2017
"10988","RUSSELL SAGE PLAYGROUND","QUEENS       ",1.526,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10989","ROGER MORRIS PARK","MANHATTAN    ",1.524,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10990","BROAD CHANNEL PARK","QUEENS       ",1.52,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10991","JOHN ALLEN PAYNE PARK","BROOKLYN     ",1.51,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10992","SPUYTEN DUYVIL PLAYGROUND","BRONX        ",1.51,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10993","BULOVA PARK","QUEENS       ",1.502,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10994","MAPLE GROVE PARK","QUEENS       ",1.5,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10995","DECATUR PLAYGROUND","BROOKLYN     ",1.5,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10996","DRY DOCK PLAYGROUND","MANHATTAN    ",1.5,"ONE ACRE OR LARGER",0,0,0,0,1,0,0,1,"Q2",2017
"10997","GOLCONDA PLAYGROUND","BROOKLYN     ",1.5,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10998","UNNAMED PARK ON RIVERSIDE DRIVE","MANHATTAN    ",1.494,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"10999","MARX BROTHERS PLAYGROUND","MANHATTAN    ",1.486,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11000","BREVOORT PLAYGROUND","BROOKLYN     ",1.485,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11001","PLAYGROUND SIXTY TWO LXII","QUEENS       ",1.48,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11002","TALL OAK PLAYGROUND","QUEENS       ",1.48,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11003","FRONTERA PARK","QUEENS       ",1.47,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11004","COLDEN PLAYGROUND","QUEENS       ",1.466,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11005","LUTHER GULICK PLAYGROUND","MANHATTAN    ",1.451,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11006","PULASKI PARK","BRONX        ",1.45,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11007","BOOKER T. WASHINGTON PLAYGROUND","MANHATTAN    ",1.441,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q2",2017
"11008","DUNBAR PLAYGROUND","BRONX        ",1.44,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11009","PLAYGROUND TWENTY ONE","QUEENS       ",1.439,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11010","WOODS PLAYGROUND","BROOKLYN     ",1.438,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11011","PROSPECT PLAYGROUND","BRONX        ",1.438,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11012","GLENWOOD PLAYGROUND","BROOKLYN     ",1.43,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11013","SHELTERING ARMS PLAYGROUND","MANHATTAN    ",1.43,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11014","GAETA PARK","STATEN ISLAND",1.43,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11015","ALMEDA PLAYGROUND","QUEENS       ",1.43,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11016","MALL FORTY TWO XLII","QUEENS       ",1.429,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11017","NORELLI-HARGREAVES PLAYGROUND","QUEENS       ",1.427,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11018","BILDERSEE PLAYGROUND","BROOKLYN     ",1.416,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11019","PULASKI PLAYGROUND","BROOKLYN     ",1.416,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q2",2017
"11020","MACDONALD PARK","QUEENS       ",1.415,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11021","OWEN F. DOLEN PARK","BRONX        ",1.4,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11022","VAN DYKE PLAYGROUND","BROOKLYN     ",1.398,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11023","WILLIAMSBRIDGE SQUARE","BRONX        ",1.395,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11024","PEOPLE'S PARK","BRONX        ",1.394,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11025","DOME PLAYGROUND","BROOKLYN     ",1.385,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11026","RUSSELL PEDERSEN PLAYGROUND","BROOKLYN     ",1.384,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11027","ST. CATHERINE'S PARK","MANHATTAN    ",1.383,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11028","HOWARD VON DOHLEN PLAYGROUND","QUEENS       ",1.381,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11029","HAVEN AVENUE","MANHATTAN    ",1.38,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11030","NAUTILUS PLAYGROUND BROOKLYN","BROOKLYN     ",1.38,"ONE ACRE OR LARGER",0,0,0,1,0,0,0,1,"Q2",2017
"11031","ARCILLA PLAYGROUND","BRONX        ",1.377,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11032","FOUNTAIN OF YOUTH PLAYGROUND","BRONX        ",1.375,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11033","LIEUTENANT JOHN H. MARTINSON PLAYGROUND","STATEN ISLAND",1.375,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11034","MARTINEZ PLAYGROUND","BROOKLYN     ",1.373,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11035","HILLSIDE PARK BROOKLYN","BROOKLYN     ",1.371,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11036","PLAYGROUND ONE FORTY","QUEENS       ",1.37,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11037","LT. LIA PLAYGROUND","STATEN ISLAND",1.37,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11038","CRACK IS WACK PLAYGROUND","MANHATTAN    ",1.369,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11039","CASTLE HILL PLAYGROUND","BRONX        ",1.368,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11040","ADAM YAUCH PARK","BROOKLYN     ",1.363,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11041","HOPE BALLFIELD","BROOKLYN     ",1.363,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11042","DR. RONALD MCNAIR PARK","BROOKLYN     ",1.361,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11043","ADMIRAL FARRAGUT PLAYGROUND","BRONX        ",1.359,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11044","MCDONALD PLAYGROUND STATEN ISLAND","STATEN ISLAND",1.352,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11045","UNNAMED PARK ON VANDALIA AVENUE","BROOKLYN     ",1.351,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11046","FRESH MEADOWS PLAYGROUND","QUEENS       ",1.35,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11047","PLAYGROUND EIGHTY LXXX","QUEENS       ",1.35,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11048","PRINTER'S PARK","BRONX        ",1.341,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11049","RENAISSANCE PLAYGROUND","MANHATTAN    ",1.34,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11050","CLASSON PLAYGROUND AT CLASSON AVENUE & LAFAYETTE AVENUE","BROOKLYN     ",1.336,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
"11051","REMSEN PLAYGROUND","BROOKLYN     ",1.333,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q2",2017
